Day,January,February,March,April,May,June,July,August,September,October,November,December
21,112.0,68.0,46.0,,,,,,,,,
22,110.0,70.0,52.0,,,,,,,,,
23,93.0,63.0,52.0,,,,,,,,,
24,62.0,71.0,64.0,,,,,,,,,
25,76.0,70.0,66.0,,,,,,,,,
26,67.0,88.0,70.0,,,,,,,,,
27,73.0,85.0,77.0,,,,,,,,,
28,107.0,81.0,93.0,,,,,,,,,
29,135.0,,66.0,,,,,,,,,
30,106.0,,67.0,,,,,,,,,
31,69.0,,66.0,,,,,,,,,
 ,,,,,,,,,,,,
Good,2.0,,7.0,,,,,,,,,
Satisfactory,12.0,22.0,22.0,,,,,,,,,
Moderate,17.0,6.0,2.0,,,,,,,,,
Poor,,,,,,,,,,,,
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100.0,100.0,100.0,100.0,,,,,,,,
